OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
1905,7105,NR2, ,126509,6/15/2022 12:00:00 AM, , ,CP, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,, , ,CP, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1906,7106,NR2, ,126509,6/15/2022 12:00:00 AM,FL, , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR2,Residential Neighborhood 2,Neighborhood Residential 2,Neighborhood Residential 2,NR2,SF 7200, ,0,,FL, , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR2,ORD126509,06/15/2022    SF 7200,05/01/1994"
1907,7107,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1908,7108,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1909,7109,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1910,7110,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1911,7111,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1912,7113,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1913,7114,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1914,7115,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1915,7116,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1916,7117,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
1917,7118,NR1, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR1,Residential Neighborhood 1,Neighborhood Residential 1,Neighborhood Residential 1,NR1,SF 9600, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR1,ORD126509,06/15/2022    SF 9600,05/01/1994"
