OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
347,4951,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-1"
348,4952,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    L-1"
349,4953,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
350,4954,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
351,4955,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
352,5787,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    L-1"
353,5788,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
354,7241,NR3, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
355,7272,NR3, ,126509,6/15/2022 12:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
356,5790,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
357,5805,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
358,5806,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
359,5807,LR2 RC (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR2 RC,Lowrise 2 Residential-Commercial,Lowrise 2,Lowrise 2 Residential-Commercial,LR2 RC,LR2 RC, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR2 RC (M),ORD125791,04/19/2019    LR2 RC,ORD123495,04/19/2011    L-2 RC"
360,5808,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
361,5809,LR2 RC (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR2 RC,Lowrise 2 Residential-Commercial,Lowrise 2,Lowrise 2 Residential-Commercial,LR2 RC,LR2 RC, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR2 RC (M),ORD125791,04/19/2019    LR2 RC,ORD123495,04/19/2011    L-2 RC"
362,5810,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
363,5811,LR2 RC (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR2 RC,Lowrise 2 Residential-Commercial,Lowrise 2,Lowrise 2 Residential-Commercial,LR2 RC,LR2 RC, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR2 RC (M),ORD125791,04/19/2019    LR2 RC,ORD123495,04/19/2011    L-2 RC"
364,5812,LR3 RC (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR3 RC,Lowrise 3 Residential-Commercial,Lowrise 3,Lowrise 3 Residential-Commercial,LR3 RC,LR3 RC, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR3 RC (M),ORD125791,04/19/2019    LR3 RC,ORD123495,04/19/2011    L-3 RC"
365,5813,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    L-1"
366,5814,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    L-1"
367,5815,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
368,5817,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
369,5818,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    LDT"
370,5819,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
371,5820,LR1 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD125791,04/19/2019    LR1,ORD123495,04/19/2011    L-1"
372,5821,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
373,5822,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-1"
374,7275,NR3, ,126509,6/15/2022 12:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR3,Residential Neighborhood 3,Neighborhood Residential 3,Neighborhood Residential 3,NR3,SF 5000, ,0,, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR3,ORD126509,06/15/2022    SF 5000,05/01/1994"
375,5851,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , ,UC, , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,124750,6/15/2015 12:00:00 AM, , ,UC, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD124750,06/15/2015    LR3,ORD123495,04/19/2011"
376,5852,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , ,UR, , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , ,UR, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
377,5858,LR2 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
378,5860,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
379,5862,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
380,5865,LR3 (M), ,125791,4/19/2019 12:00:00 AM, , , , ,HN,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 12:00:00 AM, , , , ,HN,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3,ORD120456,08/30/2001    L-3"
381,5867,MR RC (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family/Residential-Commercial,High-Density Multi-Family,MR RC,Midrise Residential-Commercial,Midrise,Midrise Residential-Commercial,MR RC,LR3 RC, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"MR RC (M1),ORD125791,04/19/2019    LR3 RC,ORD123495,04/19/2011    L-3 RC"
382,5871,LR2 (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019    LR2,ORD123495,04/19/2011    L-2"
383,5872,LR2 RC (M), ,125791,4/19/2019 12:00:00 AM, , ,UC, , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR2 RC,Lowrise 2 Residential-Commercial,Lowrise 2,Lowrise 2 Residential-Commercial,LR2 RC,LR2 RC, ,124750,6/15/2015 12:00:00 AM, , ,UC, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR2 RC (M),ORD125791,04/19/2019    LR2 RC,ORD124750,06/15/2015    LR2 RC,ORD123495,04/19/2011"
384,5878,LR3 (M2), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M2,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M2),ORD125791,04/19/2019    SF 5000,05/01/1994"
385,5879,LR3 RC (M), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR3 RC,Lowrise 3 Residential-Commercial,Lowrise 3,Lowrise 3 Residential-Commercial,LR3 RC,LR3, ,123495,4/19/2011 12:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR3 RC (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3"
386,5882,LR2 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
387,5883,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
388,5884,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
389,5885,LR1 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
390,5888,LR2 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
391,5889,LR2 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
392,5894,LR3 (M1), ,125791,4/19/2019 12:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019    SF 5000,05/01/1994"
393,5895,LR3 RC (M), ,125791,4/19/2019 12:00:00 AM, , , ,SS,ED,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR3 RC,Lowrise 3 Residential-Commercial,Lowrise 3,Lowrise 3 Residential-Commercial,LR3 RC,LR3, ,123495,4/19/2011 12:00:00 AM, , , ,SS,ED,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR3 RC (M),ORD125791,04/19/2019    LR3,ORD123495,04/19/2011    L-3,ORD120458,08/30/2001    L-3"
